EC_or_DG,Name of DG / EC cabinet,Name of EC representative,Name of DG - acronym,Title of EC representative,Transparency register ID,Head Office,Subject of the meeting,Date of meeting,Location,Region,Interest Group Name,Category Broad,Category Detailed
DG,"Internal Market, Industry, Entrepreneurship and SMEs",Kerstin Jorna,GROW,Director-General,898711618618-45,NETHERLANDS," to present their view on chip ecosystem resilience, the eu chips act, and the eu single market emergency instrument",2022-07-04 00:00:00,Digital,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,7459401905-60,UNITED STATES,semiconductor r&d ,2022-06-27 00:00:00,virtual + Brussels,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Internal Market, Industry, Entrepreneurship and SMEs",Kerstin Jorna,GROW,Director-General,22400601191-42,GERMANY,"•	resilience of value chains / strategic autonomy 
•	directive on corporate sustainability due diligence
•	eu innovation agenda
•	current and planned ipcei
",2022-06-21 00:00:00,Brussels,EUROPE,Deutscher Industrie- und Handelskammertag e.V. (DIHK),Industry stakeholder,Industry stakeholder
DG,Competition,Olivier Guersent,COMP,Director-General,764184537594-67,FRANCE," discussion on competition and industrial policy, ipcei",2022-01-18 00:00:00,Brussels,EUROPE,SAFRAN,Non Semiconductor Industry,Non Semiconductor Industry: Other
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,7459401905-60,UNITED STATES, semiconductors,2022-01-14 00:00:00,virtual,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,194094423131-36,GERMANY, semiconductors,2021-12-06 00:00:00,virtual meeting,EUROPE,ZF Friedrichshafen AG,Non Semiconductor Industry,Non Semiconductor Industry: Automotive
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,97921387213-35,BELGIUM,"organised by belgian permrep: presentation by imec, world-leading r&d hub for nano/digital technologies, semiconductors
",2021-11-22 00:00:00,Brussels,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
DG,Research and Innovation,Jean-Eric Paquet,RTD,Director-General,97921387213-35,BELGIUM, presentation of the interuniversity microelectronics centre ,2021-11-22 00:00:00,Brussels,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,174684235534-60,FRANCE,semiconductors ,2021-10-29 00:00:00,Online,EUROPE,Qualcomm Communications SARL,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,10751968675-85,GERMANY,"ipcei microelectronics
virtual meeting ",2021-06-10 00:00:00,Brussels,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,8999533555-91,GERMANY,ipcei microelectronics  (virtual meeting),2021-04-08 00:00:00,Brussels,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,721066539792-75,GERMANY,"ipcei microelectronics 
(virtual meeting) ",2021-04-08 00:00:00,Brussels,EUROPE,GLOBALFOUNDRIES Management Services Limited Liability Company & Co. KG (GF Dresden),Semiconductor Industry,Foundry
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,64270747023-20,BELGIUM,"digital decade, cloud, ai, semiconductors   (virtual meeting)",2021-04-07 00:00:00,Brussels,EUROPE,DIGITALEUROPE (DE),Industry stakeholder,Industry stakeholder
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,10751968675-85,GERMANY,ipcei microelectronics (virtual) ,2021-03-26 00:00:00,BRUSSELS ,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,70843878143-13,FRANCE,ipcei microelectronics (virtual meeting) ,2021-03-26 00:00:00,Brussels,EUROPE,STMicroelectronics (ST),Semiconductor Industry,Foundry
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,898711618618-45,NETHERLANDS,ipcei microelectronics (virtual meeting) ,2021-03-24 00:00:00,Brussels,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,7459401905-60,UNITED STATES,videomeeting: intel plans in europe & microelectronics (virtual meeting),2021-03-11 00:00:00,Brussels,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Margrethe Vestager,Michele Piergiovanni,Christiane Canenbley,Pierre-Arnaud Proux",,"Executive Vice-President,Cabinet member,Cabinet member,Cabinet member",898711618618-45,NETHERLANDS," chips act, state aid",2023-04-25 00:00:00,Brussels,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Margrethe Vestager,Michele Piergiovanni,Christiane Canenbley,Pierre-Arnaud Proux",,"Executive Vice-President,Cabinet member,Cabinet member,Cabinet member",10751968675-85,GERMANY," chips act, state aid",2023-04-25 00:00:00,Brussels,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Margrethe Vestager,Michele Piergiovanni,Christiane Canenbley,Pierre-Arnaud Proux",,"Executive Vice-President,Cabinet member,Cabinet member,Cabinet member",809121549545-61,TAIWAN," chips act, state aid",2023-04-25 00:00:00,Brussels,ASIA,Taiwan Semiconductor Manufacturing Company Ltd (TSMC),Semiconductor Industry,Foundry
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Margrethe Vestager,Michele Piergiovanni,Christiane Canenbley,Pierre-Arnaud Proux",,"Executive Vice-President,Cabinet member,Cabinet member,Cabinet member",8999533555-91,GERMANY," chips act, state aid",2023-04-25 00:00:00,Brussels,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Stina Soewarta,Pierre-Arnaud Proux",,"Cabinet member,Cabinet member",20210641335-88,BELGIUM,"eu chips act, smei, data act. ",2022-10-28 00:00:00,Brussels,EUROPE,ORGALIME – The European Technology Industries (ORGALIME),Industry stakeholder,Industry stakeholder
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Stina Soewarta,Pierre-Arnaud Proux",,"Cabinet member,Cabinet member",5749958415-41,DENMARK,"eu chips act, smei, data act. ",2022-10-28 00:00:00,Brussels,EUROPE,Confederation of Danish Industry (DI),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",10751968675-85,GERMANY, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",898711618618-45,NETHERLANDS, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",865956522785-09,AUSTRIA, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Fraunhofer Austria Reserach GmbH (FhA),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",336735239719-29,FRANCE, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Kalray SA,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",70843878143-13,FRANCE, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,STMicroelectronics (ST),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",97921387213-35,BELGIUM, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",248908039789-74,BELGIUM, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Melexis NV,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",367850645092-18,NORWAY, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE (NON-EU),Nordic Semiconductor ASA,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",030658245107-49,SPAIN, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Alcyon Photonics SL,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",8999533555-91,GERMANY, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",070028236358-54,NETHERLANDS, ceo round table on semiconductors  ,2022-01-10 00:00:00,Videoconference,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton,Lucia Caudet",,"Cabinet member,Commissioner,Cabinet member",721066539792-75,GERMANY, visit of major semiconductor research and production sites in preparation of eu chips act        ,2021-11-12 00:00:00,Dresden,EUROPE,GLOBALFOUNDRIES Management Services Limited Liability Company & Co. KG (GF Dresden),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton,Lucia Caudet",,"Cabinet member,Commissioner,Cabinet member",865956522785-09,AUSTRIA, visit of major semiconductor research and production sites in preparation of eu chips act        ,2021-11-12 00:00:00,Dresden,EUROPE,Fraunhofer Austria Reserach GmbH (FhA),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton,Lucia Caudet",,"Cabinet member,Commissioner,Cabinet member",8999533555-91,GERMANY, visit of major semiconductor research and production sites in preparation of eu chips act        ,2021-11-12 00:00:00,Dresden,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton,Lucia Caudet",,"Cabinet member,Commissioner,Cabinet member",10751968675-85,GERMANY, visit of major semiconductor research and production sites in preparation of eu chips act        ,2021-11-12 00:00:00,Dresden,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton,Lucia Caudet",,"Cabinet member,Commissioner,Cabinet member",898711618618-45,NETHERLANDS, visit of major semiconductor research and production sites in preparation of eu chips act        ,2021-11-12 00:00:00,Dresden,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",266271142555-68,TAIWAN, chips act ,2021-11-05 00:00:00,Video conference,ASIA,Taiwan Semiconductor Manufacturing Company Ltd (TSMC),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",898711618618-45,NETHERLANDS, chips act ,2021-11-05 00:00:00,Video conference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",8999533555-91,GERMANY, chips act ,2021-11-05 00:00:00,Video conference,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",10751968675-85,GERMANY, chips act ,2021-11-05 00:00:00,Video conference,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",7459401905-60,UNITED STATES, cross interview on chips-act,2021-10-21 00:00:00,videoconference,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",041592911733-05,BELGIUM, cross interview on chips-act,2021-10-21 00:00:00,videoconference,EUROPE,Centre on Regulation in Europe (CERRE),Thinktank,Thinktank
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",898711618618-45,NETHERLANDS,semiconductors,2021-09-23 00:00:00,Videoconference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",10751968675-85,GERMANY,semiconductors,2021-09-23 00:00:00,Videoconference,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",8999533555-91,GERMANY,semiconductors,2021-09-23 00:00:00,Videoconference,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",10751968675-85,GERMANY,alliance in microelectronics  ,2021-05-07 00:00:00,videoconference,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",8999533555-91,GERMANY,alliance in microelectronics  ,2021-05-07 00:00:00,videoconference,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",898711618618-45,NETHERLANDS,alliance in microelectronics  ,2021-05-07 00:00:00,videoconference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",721066539792-75,GERMANY,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,GLOBALFOUNDRIES Management Services Limited Liability Company & Co. KG (GF Dresden),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",248908039789-74,BELGIUM,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,Melexis NV,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",898711618618-45,NETHERLANDS,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",71635694112-37,BELGIUM,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,FEANI (FEANI),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",147656111703-83,BELGIUM,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,European Forum of technical and Vocational Education and Training (EfVET),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",070028236358-54,NETHERLANDS,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",358284014848-82,BELGIUM,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,industriAll European Trade Union (industriAll),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",52774696782-43,FRANCE,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,Commissariat à l'Energie atomique et aux énergies alternatives (CEA),Research and Development,Research and Development
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",817789336491-32,FRANCE,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,SOITEC,Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",402302029423-14,GERMANY,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,SEMI Europe (SEMI),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Nicolas Schmit,"Christoph Nerlich,Anouk Faber,Nicolas Schmit",,"Cabinet member,Cabinet member,Commissioner",97921387213-35,BELGIUM,pact for skills roundtable with the microelectronic sector. ,2020-10-05 00:00:00,Videoconference,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",402302029423-14,GERMANY, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,SEMI Europe (SEMI),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",817789336491-32,FRANCE, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,SOITEC,Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",52774696782-43,FRANCE, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,Commissariat à l'Energie atomique et aux énergies alternatives (CEA),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",358284014848-82,BELGIUM, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,industriAll European Trade Union (industriAll),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",97921387213-35,BELGIUM, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",147656111703-83,BELGIUM, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,European Forum of technical and Vocational Education and Training (EfVET),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",248908039789-74,BELGIUM, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,Melexis NV,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",898711618618-45,NETHERLANDS, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",71635694112-37,BELGIUM, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,FEANI (FEANI),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",070028236358-54,NETHERLANDS, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Agnieszka Skonieczna,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",721066539792-75,GERMANY, roundtable skills on microelectronics,2020-10-05 00:00:00,Videoconference,EUROPE,GLOBALFOUNDRIES Management Services Limited Liability Company & Co. KG (GF Dresden),Semiconductor Industry,Foundry
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,336735239719-29,FRANCE,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Kalray SA,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,070028236358-54,NETHERLANDS,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,898711618618-45,NETHERLANDS,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,NXP Semiconductors Netherlands B.V. (NXP),Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,248908039789-74,BELGIUM,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Melexis NV,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,35124436517-75,GERMANY,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Fraunhofer-Gesellschaft (FhG),Research and Development,Research and Development
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,97921387213-35,BELGIUM,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,70843878143-13,FRANCE,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,STMicroelectronics (ST),Semiconductor Industry,Foundry
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,030658245107-49,SPAIN,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Alcyon Photonics SL,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,243961945295-86,FRANCE,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,SOITEC,Semiconductor Industry,Manufacturing Equipment & Design Software
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,367850645092-18,NORWAY,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE (NON-EU),Nordic Semiconductor ASA,Semiconductor Industry,Fabless (Chip Design & IP Holders)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,10751968675-85,GERMANY,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Infineon Technologies AG,Semiconductor Industry,Integrated Device Manufacturer (IDM)
DG,"Communications Networks, Content and Technology",Roberto Viola,CNECT,Director-General,8999533555-91,GERMANY,semiconductors ,2022-01-10 00:00:00,Virtual,EUROPE,Robert Bosch GmbH,Semiconductor Industry,Fabless (Chip Design & IP Holders)
